,ID,lat.long,plant_richness,floral_visitor_richness,interaction_richness,state
276,1,"-12.85 , -39.48",1,6,6,unstable
3760,2,"-12.98 , -41.35",1,2,2,NA
3754,3,"-13 , -38.3",1,6,6,unstable
2178,4,"-13.79 , -39.18",1,4,4,stable
928,5,"-13.81 , -39.2",18,13,53,partially stable
1238,6,"-15.21 , -39.2",6,23,39,partially stable
2532,7,"-15.33 , -39.08",2,2,3,partially unstable
1279,8,"-18.66 , -40.58",1,3,3,recovered
444,9,"-19.1 , -39.75",2,3,3,
2702,10,"-19.26 , -43.6",2,4,4,
2191,11,"-19.3 , -40.32",2,2,2,
2270,12,"-19.42 , -40.05",1,1,1,
3762,13,"-19.72 , -41.81",1,1,1,
2193,14,"-19.8 , -40.67",1,1,1,
1062,15,"-19.83 , -41.83",1,5,5,
2510,16,"-19.87 , -40.77",9,10,22,
1336,17,"-19.94 , -40.6",2,2,2,
2540,18,"-19.95 , -40.51",47,13,141,
2551,19,"-19.95 , -41.52",2,2,3,
2535,20,"-20.08 , -43.46",1,3,3,
2281,21,"-20.33 , -40.33",1,1,1,
3316,22,"-20.58 , -44.83",1,1,1,
2264,23,"-20.74 , -46.61",1,4,4,
3328,24,"-20.75 , -42.85",1,8,8,
1,25,"-20.75 , -42.92",31,12,97,
3096,26,"-20.8 , -42.86",1,4,4,
211,27,"-20.81 , -56.95",13,11,51,
2272,28,"-20.84 , -46.46",1,2,2,
297,29,"-21.55 , -41.2",2,1,2,
2573,30,"-21.7 , -43.88",3,4,11,
1663,31,"-21.73 , -43.38",1,1,1,
2536,32,"-21.83 , -44.86",1,1,1,
1277,33,"-21.97 , -42.02",1,2,2,
1026,34,"-21.97 , -43.89",1,1,1,
2249,35,"-22 , -44.32",1,12,12,
256,36,"-22.25 , -44.5",1,10,10,
2698,37,"-22.25 , -47.83",2,2,2,
50,38,"-22.27 , -41.65",14,6,31,
3212,39,"-22.29 , -42.53",15,10,25,
3107,40,"-22.35 , -42.45",1,3,3,
1693,41,"-22.38 , -42.15",9,9,21,
305,42,"-22.38 , -44.66",16,6,36,
2231,43,"-22.4 , -42.95",1,18,18,
3345,44,"-22.4 , -47.55",1,5,5,
1985,45,"-22.41 , -42.74",13,10,26,
991,46,"-22.42 , -42.05",8,7,14,
1688,47,"-22.42 , -43.19",3,4,5,
2131,48,"-22.45 , -42.99",3,5,5,
2557,49,"-22.45 , -43.02",3,4,8,
254,50,"-22.45 , -44.61",28,9,64,
2214,51,"-22.48 , -44.55",1,17,17,
1340,52,"-22.49 , -43.08",1,5,5,
2783,53,"-22.49 , -47.07",5,4,8,
817,54,"-22.5 , -44.88",32,5,75,
2785,55,"-22.5 , -46.57",1,2,2,
1027,56,"-22.51 , -42.26",2,1,2,
2201,57,"-22.53 , -44.17",1,13,13,
1217,58,"-22.73 , -44.6",10,6,20,
283,59,"-22.73 , -45.58",41,11,87,
3084,60,"-22.75 , -43.68",5,5,9,
1220,61,"-22.75 , -44.62",1,1,1,
3586,62,"-22.75 , -45.51",1,1,1,
2274,63,"-22.75 , -46.88",2,4,7,
