row.number_original.sheet,ID,lat.long,plant_richness,frugivore_richness,interaction_richness,patch_state,observations
974,1,"-1.452731 , -48.476513",5,3,9,NA,out of map limits
2202,2,"-10.249091 , -48.324286",1,1,1,NA,out of map limits
4244,3,"-11.353779 , -37.458437",1,1,1,stable FC increased I,in a clearance
6988,4,"-12.531129 , -38.301248",1,1,1,stable FC no increase in I,in a city
348,5,"-12.988333 , -41.340833",8,8,19,NA,
801,6,"-13.72539 , -39.148418",1,1,1,,
6994,7,"-14.279065 , -38.994629",1,1,1,,
1562,8,"-15.190556 , -39.041667",5,1,5,,
340,9,"-15.19541 , -39.029874",33,3,35,,
7522,10,"-15.333333 , -39.083333",1,1,1,,
7868,11,"-15.601411 , -56.097892",1,1,1,,
261,12,"-15.9519 , -47.9701",17,66,285,,
811,13,"-16.266471 , -56.626599",1,1,1,,
807,14,"-17.717813 , -40.877859",1,1,1,,
1870,15,"-18.512178 , -44.555032",6,10,17,,
6082,16,"-18.512252 , -44.555111",2,12,17,,
1678,17,"-18.624875 , -43.058341",1,1,1,,
1224,18,"-19.183423 , -40.308862",15,15,50,,
793,19,"-19.183423 , -40.308863",6,16,35,,
2852,20,"-19.265442 , -40.335658",1,1,1,,
2884,21,"-19.394829 , -40.065512",2,2,2,,
4057,22,"-19.414363 , -42.415059",1,1,1,,
3986,23,"-19.45738 , -44.241669",1,1,1,,
809,24,"-19.580955 , -41.561242",1,1,1,,
1819,25,"-19.74146 , -39.996096",13,43,122,,
368,26,"-19.76666667 , -40.00333333",24,43,164,,
1320,27,"-19.803611 , -45.685833",1,13,13,,
6900,28,"-19.807304 , -44.181518",1,1,1,,
557,29,"-19.820534 , -40.276822",2,2,2,,
5762,30,"-19.833333 , -41.833333",1,1,1,,
6,31,"-19.866667 , -40.55",14,2,14,,
4959,32,"-19.900122 , -41.0628",1,1,1,,
723,33,"-19.924502 , -43.935238",2,2,2,,
792,34,"-19.935676 , -40.599707",10,1,10,,
2865,35,"-19.936828 , -40.598329",1,1,1,,
2894,36,"-20.025785 , -40.744316",1,1,1,,
2968,37,"-20.078329 , -41.126449",1,1,1,,
3981,38,"-20.151471 , -44.201091",1,1,1,,
1334,39,"-20.177911 , -46.439305",2,1,2,,
3933,40,"-20.275833 , -40.297222",1,1,1,,
6971,41,"-20.297627 , -40.295792",1,1,1,,
3856,42,"-20.360778 , -40.659816",3,3,3,,
739,43,"-20.385556 , -54.6075",3,9,12,,
2921,44,"-20.441979 , -40.776661",1,1,1,,
259,45,"-20.444274 , -41.979152",1,1,1,,
8,46,"-20.467005 , -55.78729",7,2,7,,
7857,47,"-20.469765 , -54.620237",1,1,1,,
457,48,"-20.525 , -47.316667",17,2,17,,
2284,49,"-20.539329 , -47.401344",2,3,3,,
1687,50,"-20.616579 , -42.177025",1,1,1,,
2889,51,"-20.636206 , -40.750067",1,1,1,,
6980,52,"-20.67412 , -40.499738",1,1,1,,
3979,53,"-20.722143 , -46.613335",1,1,1,,
813,54,"-20.731475 , -42.029926",2,2,2,,
95,55,"-20.75 , -42.88",15,26,64,,
4960,56,"-20.754866 , -42.878579",2,1,2,,
8269,57,"-21.022798 , -47.374238",1,1,1,,
6879,58,"-21.025617 , -44.323818",1,1,1,,
3994,59,"-21.052335 , -49.062078",1,1,1,,
34,60,"-21.052854 , -44.077013",1,2,2,,
808,61,"-21.13057 , -42.369617",1,1,1,,
35,62,"-21.13158 , -44.253062",1,1,1,,
4998,63,"-21.170511 , -47.810245",2,2,2,,
6560,64,"-21.233565 , -45.232548",1,1,1,,
6880,65,"-21.248488 , -45.001375",1,1,1,,
3985,66,"-21.301838 , -46.798474",1,1,1,,
2287,67,"-21.305488 , -46.708493",1,1,1,,
528,68,"-21.392882 , -42.690053",2,1,2,,
1333,69,"-21.418427 , -42.813376",1,1,1,,
