id,layer,freq1985,rel_freq1985,buffer,metric1985,value1985,freq2020,rel_freq2020,metric2020,value2020,change_area_ha,change_area_prop,change_iso,change_iso_prop
1,0,10,0.04405286343612335,250,NA,NA,7,0.030837004405286344,NA,NA,-0.027,-0.013215859030837006,NA,NA
2,0,218,0.960352422907489,250,enn_mn,NA,220,0.9691629955947136,enn_mn,NA,0.018,0.008810572687224627,NA,NA
3,0,0,NA,250,NA,NA,0,NA,NA,NA,0,NA,NA,NA
4,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
5,0,19,0.08444444444444445,250,NA,NA,54,0.24,enn_mn,5.389891704723482e-4,0.315,0.15555555555555556,NA,NA
6,0,134,0.5982142857142857,250,enn_mn,NA,174,0.7767857142857143,enn_mn,NA,0.36,0.1785714285714286,NA,NA
7,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
8,0,233,1,250,NA,NA,233,1,NA,NA,0,0,NA,NA
9,0,232,1,250,NA,NA,232,1,NA,NA,0,0,NA,NA
10,0,226,0.9955947136563876,250,NA,NA,211,0.9295154185022027,enn_mn,NA,-0.135,-0.06607929515418498,NA,NA
11,0,233,1,250,NA,NA,233,1,NA,NA,0,0,NA,NA
12,0,89,0.3852813852813853,250,NA,NA,87,0.37662337662337664,NA,NA,-0.018,-0.008658008658008642,NA,NA
13,0,218,0.9478260869565217,250,NA,NA,206,0.8956521739130435,enn_mn,NA,-0.108,-0.05217391304347818,NA,NA
14,0,98,0.4188034188034188,250,enn_mn,9.716765455259702e-4,68,0.2905982905982906,enn_mn,7.838528679220082e-4,-0.27,-0.1282051282051282,-1.8782367760396203e-4,-0.19329856058457473
15,0,157,0.6796536796536796,250,enn_mn,NA,157,0.6796536796536796,enn_mn,6.026082121546077e-4,0,0,NA,NA
16,0,104,0.4425531914893617,250,enn_mn,0.0013741581489240587,117,0.4978723404255319,enn_mn,NA,0.117,0.05531914893617024,NA,NA
17,0,141,0.6077586206896551,250,enn_mn,0.0010779783409446964,145,0.625,enn_mn,0.0013474729261773177,0.036,0.017241379310344862,2.694945852326214e-4,0.24999999999670428
18,0,161,0.688034188034188,250,enn_mn,5.389891704723482e-4,94,0.4017094017094017,enn_mn,7.62245794854219e-4,-0.603,-0.2863247863247863,2.2325662438187077e-4,0.4142135623730951
19,0,235,1,250,NA,NA,235,1,NA,NA,0,0,NA,NA
20,0,235,1,250,NA,NA,235,1,NA,NA,0,0,NA,NA
21,0,233,1,250,NA,NA,233,1,NA,NA,0,0,NA,NA
22,0,231,1,250,NA,NA,231,1,NA,NA,0,0,NA,NA
23,0,232,1,250,NA,NA,232,1,NA,NA,0,0,NA,NA
24,0,109,0.47391304347826085,250,enn_mn,0.0011192081534165542,107,0.4652173913043478,enn_mn,6.737364630886589e-4,-0.018,-0.008695652173913049,-4.4547169032789534e-4,-0.398023985947587
25,0,215,0.9110169491525424,250,enn_mn,NA,217,0.9194915254237288,NA,NA,0.018,0.008474576271186418,NA,NA
26,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
27,0,0,NA,250,NA,NA,0,NA,NA,NA,0,NA,NA,NA
28,0,0,NA,250,NA,NA,0,NA,NA,NA,0,NA,NA,NA
29,0,3,0.012711864406779662,250,enn_mn,0.0038112289742710946,4,0.01694915254237288,enn_mn,0.0035955062233178343,0.009,0.0042372881355932195,-2.157227509532603e-4,-0.05660188679545755
30,0,190,0.8154506437768241,250,enn_mn,NA,185,0.7939914163090128,enn_mn,NA,-0.045,-0.02145922746781126,NA,NA
31,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
32,0,237,1,250,NA,NA,225,0.9493670886075949,NA,NA,-0.108,-0.05063291139240511,NA,NA
33,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
34,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
35,0,190,0.8050847457627118,250,enn_mn,NA,181,0.7669491525423728,enn_mn,7.186522272964643e-4,-0.081,-0.03813559322033899,NA,NA
36,0,191,0.8025210084033614,250,enn_mn,NA,164,0.6890756302521008,enn_mn,NA,-0.243,-0.11344537815126055,NA,NA
37,0,232,1,250,NA,NA,228,0.9827586206896551,NA,NA,-0.036,-0.017241379310344862,NA,NA
38,0,235,1,250,NA,NA,235,1,NA,NA,0,0,NA,NA
39,0,237,1,250,NA,NA,237,1,NA,NA,0,0,NA,NA
40,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
41,0,50,0.21008403361344538,250,enn_mn,0.003048983179411851,87,0.36554621848739494,enn_mn,0.001451272756123856,0.333,0.15546218487394955,-0.0015977104232879952,-0.5240141808838032
42,0,238,1,250,NA,NA,238,1,NA,NA,0,0,NA,NA
43,0,67,0.2815126050420168,250,NA,NA,55,0.23109243697478993,NA,NA,-0.108,-0.05042016806722688,NA,NA
44,0,238,1,250,NA,NA,238,1,NA,NA,0,0,NA,NA
45,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
46,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
47,0,67,0.2815126050420168,250,enn_mn,0.0011415973826256465,23,0.09663865546218488,enn_mn,0.0017957209406096193,-0.396,-0.18487394957983194,6.541235579839728e-4,0.5729897141840885
48,0,36,0.15319148936170213,250,enn_mn,7.274124592909939e-4,92,0.39148936170212767,enn_mn,8.084837557049696e-4,0.504,0.23829787234042554,8.107129641397566e-5,0.111451619199643
